"","Customer_ID","Test_Variable","Outcome","Days_in_Between","State"
"1",1,1,0,200,NA
"2",2,0,0,200,NA
"3",3,0,0,200,NA
"4",4,1,0,200,NA
"5",5,0,0,200,NA
"6",6,1,0,200,NA
"7",7,1,0,200,NA
"8",8,1,0,200,"NE"
"9",9,0,0,200,NA
"10",10,1,0,200,"UT"
"11",11,0,0,200,"NV"
"12",12,1,0,200,NA
"13",13,0,0,200,NA
"14",14,1,1,29,"NY"
"15",15,0,0,200,NA
"16",16,1,0,200,"NM"
"17",17,1,0,200,NA
"18",18,0,0,200,NA
"19",19,0,0,200,NA
"20",20,0,0,200,NA
"21",21,1,0,200,"VA"
"22",22,1,0,200,"ME"
"23",23,0,0,200,NA
"24",24,0,0,200,NA
"25",25,0,0,200,NA
"26",26,1,0,200,"TN"
"27",27,0,0,200,"MO"
"28",28,1,0,200,"AK"
"29",29,1,0,200,"CT"
"30",30,1,0,200,"HI"
"31",31,0,0,200,NA
"32",32,1,0,200,"MN"
"33",33,1,0,200,NA
"34",34,0,0,200,NA
"35",35,0,0,200,"NM"
"36",36,1,0,200,NA
"37",37,1,0,200,"WY"
"38",38,1,0,200,NA
"39",39,0,0,200,"OH"
"40",40,0,0,200,NA
"41",41,0,0,200,NA
"42",42,0,0,200,"NJ"
"43",43,1,0,200,NA
"44",44,0,0,200,"CA"
"45",45,1,0,200,NA
"46",46,0,0,200,NA
"47",47,0,0,200,NA
"48",48,0,0,200,NA
"49",49,1,0,200,"MN"
"50",50,1,0,200,NA
"51",51,0,0,200,NA
"52",52,1,0,200,NA
"53",53,1,0,200,"GA"
"54",54,0,0,200,"SC"
"55",55,1,0,200,"MO"
"56",56,0,0,200,NA
"57",57,0,0,200,"WY"
"58",58,1,0,200,NA
"59",59,1,0,200,"CO"
"60",60,1,0,200,"OH"
"61",61,0,0,200,"AZ"
"62",62,1,0,200,NA
"63",63,1,0,200,NA
"64",64,0,0,200,NA
"65",65,0,0,200,NA
"66",66,1,0,200,"HI"
"67",67,0,0,200,NA
"68",68,0,0,200,NA
"69",69,1,0,200,NA
"70",70,0,0,200,NA
"71",71,1,0,200,"AR"
"72",72,0,0,200,"MT"
"73",73,1,0,200,"IL"
"74",74,1,0,200,NA
"75",75,0,0,200,NA
"76",76,0,0,200,NA
"77",77,0,0,200,"NJ"
"78",78,1,0,200,NA
"79",79,1,0,200,"DE"
"80",80,0,0,200,"OR"
"81",81,1,0,200,NA
"82",82,0,0,200,NA
"83",83,1,0,200,"WY"
"84",84,1,0,200,NA
"85",85,1,0,200,"NY"
"86",86,0,0,200,NA
"87",87,0,0,200,NA
"88",88,1,0,200,"IA"
"89",89,1,0,200,"MT"
"90",90,0,0,200,NA
"91",91,0,0,200,NA
"92",92,0,0,200,NA
"93",93,0,0,200,NA
"94",94,0,0,200,"AK"
"95",95,0,0,200,NA
"96",96,0,0,200,NA
"97",97,1,0,200,"LA"
"98",98,1,0,200,"AL"
"99",99,1,0,200,"NC"
"100",100,0,0,200,NA
"101",101,0,0,200,NA
"102",102,1,0,200,NA
"103",103,0,0,200,"CA"
"104",104,1,0,200,"NJ"
"105",105,0,0,200,"KY"
"106",106,0,0,200,NA
"107",107,1,0,200,NA
"108",108,0,0,200,NA
"109",109,0,0,200,"IN"
"110",110,0,0,200,NA
"111",111,0,0,200,"WI"
"112",112,1,0,200,NA
"113",113,0,0,200,NA
"114",114,1,0,200,NA
"115",115,0,0,200,"HI"
"116",116,0,0,200,"MT"
"117",117,0,0,200,"WI"
"118",118,1,0,200,NA
"119",119,1,0,200,NA
"120",120,0,0,200,NA
"121",121,0,0,200,NA
"122",122,0,0,200,NA
"123",123,0,0,200,NA
"124",124,0,0,200,"CT"
"125",125,1,0,200,NA
"126",126,0,0,200,NA
"127",127,0,0,200,NA
"128",128,1,0,200,"VT"
"129",129,0,0,200,NA
"130",130,0,0,200,NA
"131",131,0,0,200,"PA"
"132",132,0,0,200,NA
"133",133,1,0,200,"GA"
"134",134,0,0,200,NA
"135",135,1,0,200,"MD"
"136",136,0,0,200,"SD"
"137",137,1,0,200,"LA"
"138",138,1,0,200,NA
"139",139,0,0,200,"LA"
"140",140,1,0,200,"OR"
"141",141,1,0,200,NA
"142",142,0,0,200,NA
"143",143,1,0,200,NA
"144",144,1,0,200,NA
"145",145,1,0,200,NA
"146",146,1,0,200,NA
"147",147,1,0,200,"MI"
"148",148,1,0,200,NA
"149",149,0,0,200,"MA"
"150",150,1,0,200,NA
"151",151,1,0,200,NA
"152",152,1,0,200,"DE"
"153",153,0,0,200,NA
"154",154,1,0,200,NA
"155",155,1,0,200,"NH"
"156",156,1,0,200,NA
"157",157,0,0,200,NA
"158",158,0,0,200,"OR"
"159",159,0,0,200,NA
"160",160,1,0,200,"ME"
"161",161,1,0,200,NA
"162",162,0,0,200,NA
"163",163,1,0,200,NA
"164",164,1,0,200,NA
"165",165,1,0,200,NA
"166",166,1,0,200,"NM"
"167",167,0,0,200,"ND"
"168",168,0,0,200,NA
"169",169,1,0,200,"GA"
"170",170,0,0,200,NA
"171",171,1,0,200,"KY"
"172",172,0,0,200,NA
"173",173,1,0,200,"IL"
"174",174,1,0,200,NA
"175",175,0,0,200,NA
"176",176,1,0,200,NA
"177",177,0,0,200,"AL"
"178",178,0,0,200,NA
"179",179,1,0,200,NA
"180",180,0,0,200,"NV"
"181",181,1,0,200,NA
"182",182,0,0,200,NA
"183",183,0,0,200,NA
"184",184,1,1,40,NA
"185",185,1,1,30,"AL"
"186",186,0,0,200,NA
"187",187,0,0,200,"OK"
"188",188,1,0,200,NA
"189",189,0,0,200,NA
"190",190,1,1,31,NA
"191",191,1,0,200,NA
"192",192,1,0,200,NA
"193",193,1,0,200,NA
"194",194,1,0,200,NA
"195",195,0,0,200,NA
"196",196,1,0,200,"NH"
"197",197,0,0,200,NA
"198",198,0,0,200,NA
"199",199,1,0,200,"KS"
"200",200,0,0,200,NA
"201",201,0,0,200,"KY"
"202",202,1,0,200,"KS"
"203",203,1,0,200,"IN"
"204",204,1,0,200,"VT"
"205",205,0,0,200,"TX"
"206",206,1,1,31,"NH"
"207",207,0,0,200,"OH"
"208",208,1,0,200,NA
"209",209,1,0,200,"AL"
"210",210,0,0,200,NA
"211",211,0,0,200,NA
"212",212,0,0,200,NA
"213",213,0,0,200,NA
"214",214,1,0,200,NA
"215",215,1,0,200,NA
"216",216,1,0,200,"NJ"
"217",217,1,0,200,NA
"218",218,1,0,200,NA
"219",219,1,0,200,"SD"
"220",220,0,0,200,"CT"
"221",221,0,0,200,NA
"222",222,1,0,200,NA
"223",223,0,0,200,"AR"
"224",224,0,0,200,NA
"225",225,1,0,200,"KY"
"226",226,1,0,200,"NM"
"227",227,0,0,200,"FL"
"228",228,1,1,97,NA
"229",229,0,0,200,NA
"230",230,1,0,200,NA
"231",231,0,0,200,NA
"232",232,1,0,200,NA
"233",233,0,0,200,"NC"
"234",234,0,0,200,NA
"235",235,0,0,200,NA
"236",236,0,0,200,"ID"
"237",237,1,0,200,"SD"
"238",238,1,0,200,NA
"239",239,1,0,200,"HI"
"240",240,0,0,200,NA
"241",241,1,0,200,NA
"242",242,0,0,200,NA
"243",243,1,0,200,NA
"244",244,1,0,200,"NJ"
"245",245,1,0,200,"AR"
"246",246,0,0,200,"NE"
"247",247,1,0,200,"FL"
"248",248,0,0,200,NA
"249",249,1,0,200,"NJ"
"250",250,0,0,200,"NC"
"251",251,0,0,200,"ID"
"252",252,0,0,200,NA
"253",253,1,0,200,"IA"
"254",254,1,0,200,"NJ"
"255",255,0,0,200,NA
"256",256,1,0,200,"CO"
"257",257,0,0,200,NA
"258",258,1,0,200,NA
"259",259,0,0,200,NA
"260",260,0,0,200,"FL"
"261",261,0,0,200,NA
"262",262,0,0,200,"VA"
"263",263,1,0,200,NA
"264",264,1,0,200,"VA"
"265",265,1,1,30,NA
"266",266,0,0,200,NA
"267",267,0,1,30,"UT"
"268",268,0,0,200,NA
"269",269,0,0,200,"NE"
"270",270,1,0,200,NA
"271",271,0,0,200,NA
"272",272,0,0,200,NA
"273",273,1,0,200,"KS"
"274",274,0,0,200,"GA"
"275",275,1,0,200,"MS"
"276",276,1,0,200,NA
"277",277,1,0,200,NA
"278",278,0,0,200,"NC"
"279",279,1,0,200,"VT"
"280",280,1,0,200,NA
"281",281,0,0,200,NA
"282",282,1,0,200,NA
"283",283,0,0,200,"OH"
"284",284,0,0,200,NA
"285",285,0,0,200,"NM"
"286",286,1,0,200,"VA"
"287",287,1,0,200,NA
"288",288,1,0,200,NA
"289",289,0,0,200,NA
"290",290,1,0,200,NA
"291",291,1,0,200,"IN"
"292",292,1,0,200,"CO"
"293",293,0,0,200,NA
"294",294,0,0,200,"SD"
"295",295,1,0,200,NA
"296",296,0,0,200,"IN"
"297",297,0,0,200,"OH"
"298",298,1,0,200,"NY"
"299",299,0,0,200,NA
"300",300,1,0,200,NA
"301",301,1,0,200,"ID"
"302",302,0,0,200,"NJ"
"303",303,1,0,200,"CT"
"304",304,0,0,200,NA
"305",305,1,0,200,NA
"306",306,1,0,200,NA
"307",307,1,0,200,"WI"
"308",308,0,0,200,"NH"
"309",309,1,0,200,"NC"
"310",310,0,0,200,NA
"311",311,1,0,200,"VT"
"312",312,1,0,200,"OH"
"313",313,0,0,200,NA
"314",314,1,0,200,NA
"315",315,1,0,200,"CA"
"316",316,0,0,200,NA
"317",317,0,0,200,"NV"
"318",318,1,1,31,NA
"319",319,1,0,200,NA
"320",320,0,0,200,"NY"
"321",321,0,0,200,NA
"322",322,1,0,200,"NJ"
"323",323,1,0,200,"OR"
"324",324,0,0,200,"WA"
"325",325,0,0,200,"MD"
"326",326,1,0,200,"MI"
"327",327,0,0,200,"MO"
"328",328,0,0,200,"PA"
"329",329,0,0,200,"NE"
"330",330,1,0,200,"WA"
"331",331,1,0,200,NA
"332",332,1,0,200,"MN"
"333",333,1,0,200,"NV"
"334",334,0,0,200,"MO"
"335",335,0,0,200,"NY"
"336",336,1,0,200,NA
"337",337,1,0,200,"CT"
"338",338,1,0,200,"DE"
"339",339,1,0,200,NA
"340",340,1,0,200,NA
"341",341,0,0,200,NA
"342",342,0,0,200,"RI"
"343",343,1,0,200,"OH"
"344",344,0,0,200,"MI"
"345",345,1,0,200,NA
"346",346,1,0,200,"MD"
"347",347,1,0,200,NA
"348",348,1,0,200,NA
"349",349,0,0,200,NA
"350",350,0,0,200,"ND"
"351",351,1,0,200,NA
"352",352,0,0,200,NA
"353",353,0,0,200,NA
"354",354,0,0,200,NA
"355",355,1,0,200,"LA"
"356",356,1,0,200,NA
"357",357,1,1,31,"OR"
"358",358,0,0,200,"AL"
"359",359,1,0,200,"NY"
"360",360,0,0,200,"MN"
"361",361,0,0,200,NA
"362",362,1,0,200,"OH"
"363",363,1,1,30,"VT"
"364",364,1,0,200,NA
"365",365,0,0,200,"OR"
"366",366,0,0,200,"CO"
"367",367,0,0,200,NA
"368",368,0,0,200,NA
"369",369,0,0,200,NA
"370",370,0,1,39,"HI"
"371",371,0,0,200,NA
"372",372,0,0,200,NA
"373",373,1,0,200,"NC"
"374",374,1,0,200,NA
"375",375,1,0,200,NA
"376",376,1,0,200,NA
"377",377,0,0,200,"OH"
"378",378,0,0,200,NA
"379",379,1,0,200,"OH"
"380",380,1,0,200,NA
"381",381,0,0,200,"IL"
"382",382,0,0,200,NA
"383",383,1,0,200,NA
"384",384,0,0,200,NA
"385",385,0,0,200,NA
"386",386,0,0,200,NA
"387",387,0,0,200,"VA"
"388",388,0,0,200,"NV"
"389",389,0,0,200,NA
