name,homepage_url, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
Z Plane,http://www.z-planeinc.com, Hardware + Software ,"486,100",operating,USA,CA,SF Bay Area,Palo Alto,2,1/1/08,2008-01,2008-Q1,2008,6/16/11,2/22/12
Z-good,, Finance ,"5,000,000",operating,HKG,,Hong Kong,,1,8/17/12,2012-08,2012-Q3,2012,3/1/13,3/1/13
Z2,http://z2.com, Games ,"6,499,999",operating,USA,WA,Seattle,Seattle,3,1/1/09,2009-01,2009-Q1,2009,10/1/08,3/30/11
Z80 Labs Technology Incubator,http://z80labs.com, Mobile ,"6,000,000",operating,USA,NY,Buffalo,Buffalo,2,7/1/12,2012-07,2012-Q3,2012,7/1/12,6/25/13
Zaarly,http://www.zaarly.com, Startups ,"15,150,000",operating,USA,CA,SF Bay Area,San Francisco,2,2/20/11,2011-02,2011-Q1,2011,3/9/11,10/24/11
Zaask,http://www.zaask.pt, Service Providers , -   ,operating,PRT,,Lisbon,Lisbon,3,1/1/12,2012-01,2012-Q1,2012,3/1/13,6/1/13
ZaBeCor Pharmaceuticals,http://zabecor.com, Biotechnology ,"50,000",operating,USA,PA,PA - Other,Bala Cynwyd,1,1/1/92,1992-01,1992-Q1,1992,4/1/09,4/1/09
Zabu Studio,, Games ,"950,000",acquired,USA,CA,SF Bay Area,Los Altos,1,1/1/10,2010-01,2010-Q1,2010,12/28/10,12/28/10
Zacharon Pharmaceuticals,http://www.zacharon.com, Biotechnology ,"533,000",acquired,USA,CA,San Diego,San Diego,2,1/1/04,2004-01,2004-Q1,2004,6/24/10,4/4/12
Zachary Prell,http://zacharyprell.com, Fashion ,"15,000,000",operating,USA,NY,New York City,New York,1,1/1/06,2006-01,2006-Q1,2006,1/14/14,1/14/14
Zackfire.com,http://www.zackfire.com, Web Hosting ,"6,000",closed,PAK,,Islamabad,Islamabad,1,7/28/10,2010-07,2010-Q3,2010,2/2/11,2/2/11
Zadara Storage,http://www.zadarastorage.com, Cloud Data Services ,"20,000,000",operating,USA,CA,Anaheim,Irvine,2,1/1/11,2011-01,2011-Q1,2011,7/16/12,7/31/13
Zadby,http://zadby.com, Sales and Marketing , -   ,closed,USA,VA,"Washington, D.C.",Reston,1,1/1/02,2002-01,2002-Q1,2002,4/1/08,4/1/08
Zadego,http://www.zadego.de, Software , -   ,operating,AUT,,Innsbruck,Innsbruck,1,,,,,8/4/11,8/4/11
Zadspace,http://www.zadspace.com, Software ,"3,200,000",operating,USA,CT,Hartford,Norwalk,1,1/1/06,2006-01,2006-Q1,2006,3/24/11,3/24/11
Zady,http://www.zady.com, E-Commerce ,"1,350,000",operating,USA,NY,New York City,New York,1,1/1/12,2012-01,2012-Q1,2012,3/1/13,3/1/13
Zaelab,http://www.zaelab.com, Consulting ,"250,000",operating,USA,CT,Hartford,Stamford,1,1/1/13,2013-01,2013-Q1,2013,12/1/13,12/1/13
ZAF Energy Systems,http://zafsys.com, Hardware + Software ,"1,909,434",operating,USA,MT,MT - Other,Columbia Falls,2,1/1/11,2011-01,2011-Q1,2011,9/16/13,1/31/14
Zafgen,http://www.zafgen.com, Biotechnology ,"155,180,000",operating,USA,MA,Boston,Cambridge,7,1/1/05,2005-01,2005-Q1,2005,9/11/06,4/17/14
Zafin,http://www.zafin.com, Finance Technology ,"20,000,000",operating,CAN,BC,Vancouver,Vancouver,2,1/1/02,2002-01,2002-Q1,2002,12/12/13,10/1/14
Zafu,http://www.zafu.com, Big Data ,"4,100,000",operating,USA,CA,SF Bay Area,Berkeley,1,1/1/05,2005-01,2005-Q1,2005,8/10/07,8/10/07
Zaggora,http://www.zaggora.com, E-Commerce ,"100,000",operating,GBR,,London,London,1,4/3/11,2011-04,2011-Q2,2011,2/7/11,2/7/11
Zagster,http://www.zagster.com, Public Transportation ,"3,663,000",operating,USA,MA,Boston,Boston,8,11/1/07,2007-11,2007-Q4,2007,7/1/10,5/28/14
zahnarztzentrum.ch,http://zahnarztzentrum.ch, Health and Wellness ,"19,275,000",operating,CHE,,Zurich,Z™rich,1,,,,,9/14/10,9/14/10
Zahroof Valves,http://www.zahroofvalves.com,, -   ,operating,USA,TX,Houston,Houston,1,1/1/10,2010-01,2010-Q1,2010,8/21/13,8/21/13
ZAI Lab,http://www.zailaboratory.com/,,"30,000,000",operating,JPN,,JPN - Other,China,1,,,,,8/27/14,8/27/14
ZAINA PHARMA,,,"250,000",operating,USA,FL,Tampa,Largo,1,1/1/09,2009-01,2009-Q1,2009,7/28/10,7/28/10
Zairge,http://www.zairge.com,,"175,000",operating,USA,NY,New York City,New York,2,2/1/14,2014-02,2014-Q1,2014,5/12/14,8/1/14
Zaiseoul,http://zaiseoul.com, Travel & Tourism ,"680,000",operating,MEX,,MEX - Other,China,1,1/1/10,2010-01,2010-Q1,2010,7/31/14,7/31/14
"ZAIUS, Inc.",http://www.zaius.com,,"6,300,000",operating,USA,MA,Boston,Cambridge,1,1/1/12,2012-01,2012-Q1,2012,6/10/14,6/10/14
Zaizher.im,http://zaizher.im, Mobile ,"250,000",operating,CHN,,Beijing,Beijing,1,5/1/11,2011-05,2011-Q2,2011,10/10/11,10/10/11
Zakada,http://www.zakada.com, Storage ,"20,000",operating,,,,,1,2/1/11,2011-02,2011-Q1,2011,1/1/11,1/1/11
Zakaz.ua,https://zakaz.ua/, Retail ,"2,500,000",operating,UKR,,Kiev,Kyiv,1,1/1/10,2010-01,2010-Q1,2010,9/19/14,9/19/14
Zakazaka,http://zakazaka.ru/,,"1,000,000",,,,,,1,,,,,6/1/13,6/1/13
Zalando,http://www.zalando.de, E-Commerce ,"243,424,047",operating,DEU,,Berlin,Berlin,5,1/1/09,2009-01,2009-Q1,2009,8/31/10,11/1/13
Zaldiva,http://zaldiva.com, E-Commerce ,"250,000",operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,1,,,,,8/8/10,8/8/10
Zalicus,http://www.zalicus.com, Health Care ,"8,500,000",operating,USA,MA,Boston,Cambridge,1,1/1/00,2000-01,2000-Q1,2000,6/29/11,6/29/11
ZALORA,http://www.zalora.com, E-Commerce ,"238,000,000",operating,MYS,,Kuala Lumpur,Kuala Lumpur,4,3/1/12,2012-03,2012-Q1,2012,9/25/12,12/3/13
ZALP,http://www.zalp.com, Software , -   ,operating,JPN,,USA - Other,Usa,1,1/1/12,2012-01,2012-Q1,2012,1/1/12,1/1/12
Zambikes Malawi,http://www.zambikes.com, Sports , -   ,operating,USA,CA,San Diego,Encinitas,1,8/1/07,2007-08,2007-Q3,2007,6/27/12,6/27/12
Zameen.com,http://www.zameen.com, Real Estate , -   ,operating,PAK,,Lahore,Lahore,1,1/1/06,2006-01,2006-Q1,2006,5/29/14,5/29/14
Zample,http://zample.com, Software ,"2,000,000",operating,USA,CA,SF Bay Area,Sunnyvale,1,,,,,2/19/14,2/19/14
Zamplus Technology,http://www.zamplus.com, Enterprise Software ,"20,000,000",operating,CHN,,Beijing,Beijing,1,,,,,4/1/13,4/1/13
Zamzee,http://zamzee.com, Health and Wellness ,"1,000,000",operating,USA,CA,SF Bay Area,Redwood City,1,1/1/10,2010-01,2010-Q1,2010,11/22/10,11/22/10
ZanAqua,http://zanaqua.com, Manufacturing ,"400,000",operating,USA,NH,"Manchester, New Hampshire",Hudson,1,1/1/96,1996-01,1996-Q1,1996,7/16/10,7/16/10
Zanbato,http://zanbato.com, Finance ,"5,050,000",operating,USA,CA,SF Bay Area,Mountain View,6,7/1/10,2010-07,2010-Q3,2010,8/15/10,2/18/14
zanda,http://www.zanda.fr, News ,"10,000",operating,,,,,1,1/1/13,2013-01,2013-Q1,2013,1/21/13,1/21/13
Zando,http://www.zando.co.za, E-Commerce ,"25,700,000",operating,ZAF,,Cape Town,Cape Town,1,1/1/11,2011-01,2011-Q1,2011,11/2/12,11/2/12
Zane Prep,http://www.zaniaclearning.com, Education , -   ,operating,USA,UT,Salt Lake City,Park City,1,2/28/13,2013-02,2013-Q1,2013,2/1/13,2/1/13
Zang,http://zangapp.com/, Online Dating ,"200,000",operating,RUS,,Moscow,Moscow,1,8/6/13,2013-08,2013-Q3,2013,9/9/14,9/9/14
Zango,http://zango.com, Games ,"40,000,000",closed,USA,WA,Seattle,Bellevue,2,1/1/99,1999-01,1999-Q1,1999,3/1/04,6/1/06
ZangZing,, Photography ,"1,500,000",operating,,,,,1,,,,,1/1/10,1/1/10
Zank,http://zank.com.es, Finance ,"180,000",operating,ESP,,Valencia,Valencia,1,7/19/13,2013-07,2013-Q3,2013,9/1/13,9/1/13
ZANK.mobi,http://www.zank.mobi, Online Dating , -   ,operating,,,,,1,,,,,5/1/13,5/1/13
Zannel,http://zannel.com, Messaging ,"16,000,000",acquired,USA,CA,SF Bay Area,San Francisco,2,,,,,10/4/06,6/2/08
ZANY OX,http://www.zanyox.com.ng, E-Commerce ,"200,000",operating,,,,,1,5/1/13,2013-05,2013-Q2,2013,6/5/13,6/5/13
ZAO Begun,http://begun.ru/begun/english, Advertising Networks , -   ,operating,,,,,1,5/1/02,2002-05,2002-Q2,2002,9/1/03,9/1/03
Zao.com,http://www.zao.com, Social Recruiting ,"1,300,000",acquired,USA,CA,Los Angeles,Los Angeles,1,9/4/11,2011-09,2011-Q3,2011,6/28/12,6/28/12
ZAOZAO,http://www.shopzaozao.com, Jewelry ,"330,000",operating,USA,NY,New York City,New York,1,4/1/12,2012-04,2012-Q2,2012,11/26/13,11/26/13
